BARKOD,ADI,FIYAT,,,
8693357057760,10284 SULTANA BUYUK KASE,3,5,,
4606065010150,10284 SULTANA BUYUK KASE,3,5,,
8693357000520,10284 SULTANA BUYUK KASE,3,5,,
8693357000537,10285 SULTANA YEMEK,1,3,,
8693357000544,10286 SULTANA KASE 6LI,242,,,
4606065010044,10286 SULTANA KASE 6LI,242,,,
8693357004481,10286 SULTANA KASE 6LI,242,,,
8693357056640,10286 SULTANA KASE 6LI,242,,,
8693357090255,10287 SULTANA TEPSI,3,5,,
8693357019218,10287 SULTANA TEPSI,3,5,,
3283840019952,10287 SULTANA TEPSI,3,5,,
4606065010099,10288 SULTANA SERVIS TABAGI 6LI,6,3,,
8693357090323,10289 SULTANA PASTA TABAGI 6LI,6,2,,
8693357000575,10292 SULTANA 2'LI KAYIK,2,,,
8693357090347,10292 SULTANA 2'LI KAYIK,2,,,
8693357029934,10297 MOSAIC KUCUK KASE,5,3,,
8693357029927,10298 MOSAIC KASE,3,25,,
8693357077188,10298 MOSAIC KASE,3,25,,
8693357026384,10299 MOSAIC RENKLI TABAK 6LI,2,75,,
8693357075054,10299 MOSAIC TABAK 6LI,6,,,
8693357026391,10300 MOSAIC COLORA SERVIS TK,3,85,,
8693357026407,10301 MOSAIC COLORA  YEMEK TK,3,,,
8693357045729,10325 INVITAION KASE 6LI,4,5,,
8693357080515,10327 EXOTICA PASTA TAB.6LI,17,,,
8693357083943,10327 FASCINATION 6LI CUKUR TABAK,32,,,
8693357083653,10327 FLOWERY TABAK 6LI,16,,,
8693357053953,10327 INVITATION 6LI TABAK,8,,,
8693357033948,10327 INVITATION DUZ PASTA TABAK 6LI,6,,,
8693357071810,10327 INVITATION PASTA TABAGI 6LI,14,,,
8693357028050,10327 INVITATION PASTA TAKIMI 6LI,8,,,
8693357032064,10327 RENKLI PASTA TABAGI 6LI,18,,,
8693357060883,10327 RENKLI PASTA TABAGI 6LI,18,,,
8693357176652,10327 WORKSHOP PASTA TABAK 6LI,14,,,
8693357176638,10327 WORKSHOP PASTA TABAK 6LI,14,,,
8693357083950,10328 FASCINATION 6LI BUYUK SERVIS,43,,,
8693357033979,10328 INVITATION DUZ SERVIS TABAK 6LI,7,25,,
8693357028081,10328 INVITATION DUZ SERVIS TABAK 6LI,7,25,,
8693357053960,10328 INVITATION SERVIS TABAGI 6LI,17,,,
8693357032101,10328 RENKLI SERVIS TBK,22,,,
8693357033962,10329 INVITATION SERVIS TABAGI,4,25,,
8693357032125,10329 SERVIS TABAGI 1ADET,4,85,,
8693357049536,10329 TEMPTATION SERVIS TABAGI,4,25,,
8693357083967,10331 6LI BUYUK CUKUR TABAK,33,,,
8693357083660,10331 FLOWERY TABAK 6LI,18,,,
8693357033955,10331 INVITATION DUZ YEMEK TABAK 6LI,8,,,
8693357032088,10331 RENKLI YEMEK TBK,17,,,
8693357028128,10331 TEMPTATION YEMEK TABAGI 6LI,15,,,
8693357049574,10331 TEMPTATION YEMEK TABAGI 6LI,15,,,
8693357054226,10332 INVITATION DUZ YMK.TABAK 6LI,7,,,
8693357037700,10332 INVITATION DUZ YMK.TABAK 6LI,7,,,
8693357040755,10336 INVITATION KAYIK TABAK TEK,160,,,
8693357052680,10336 INVITATION KAYIK TABAK TEK,160,,,
8693357150133,10336 INVITATION KAYIK TABAK TEK,160,,,
8693357317772,10336 INVITATION KAYIK TABAK TEK,160,,,
8600000114084,10336 SERVIS TABAGI BUYUK,12,,,
8693357040762,10339 PAPATYA CEREZLIK 6LI,6,,,
8693357048454,10339 TEMPTATION KASE 6LI,6,,,
8693357041042,10341 INVITATION KASE 6LI,6,,,
8693357041059,10342 INVITATION KASE,176,,,
8693357052703,10342 INVITATION KASE,176,,,
8693357090385,10345 PATISERIE SERVIS TABAGI,180,,,
8693357058767,10345 PATISERIE SERVIS TABAGI,180,,,
8693357052895,10347 PAPATYA KASE 6LI,8,,,
8693357052925,10348 PAPATYA PASTA TABAGI 6LI,7,7,,
8693357052901,10349 PAPATYA KASE TEK,8,9,,
8693357052918,10350 PAPATYA SERVIS TABAGI,2,4,,
8693357071674,10352 PATISSERIE DUZ,6,,,
8693357081963,10353 PATISSERIE,2,8,,
8693357065963,10355 INVITATION 2LI KAYIK TABAK,96,,,
8693357059795,10355 INVITATION 3LU KAYIK TABAK (KUCUK),2,95,,
8693357059801,10356 INVITATION 3LU KAYIK TABAK (ORTA),211,,,
8693357065970,10356 INVITATION KAYIK TABAK 2LI,2,6,,
8693357066335,10357 FLOWERY TABAK 2LI,5,,,
8693357059399,10357 INVITATION KAYIK TABAK 2LI,3,75,,
8693357065987,10357 INVITATION KAYIK TABAK TEK,81,,,
8693357059405,10358 INVITATION 2LI KAYIK TABAK,5,,,
8693357065994,10358 INVITATION KAYIK TABAK,96,,,
8693357059511,10359 INVITATION KAYIK TABAK TEK,108,,,
8693357075115,10359 INVITATION KAYIK TABAK TEK,108,,,
8693357153950,10359 INVITATION KAYIK TABAK TEK,108,,,
8693357083806,10362 INVITATION 6LI DERIN TABAK,29,,,
2700000235171,10362 INVITATION DERIN TABAK TEK,2,75,,
8693357094963,10363 INVITATION KAYIK TABAK,2,1,,
8693357076037,10364 AURA TABAK DUZ,2,2,,
8693357080188,10364 AURA TABAK DUZ,2,2,,
8693357082137,10364 EXOTICA CAM TEPSI,3,1,,
8693357080195,10365 AURA COLORA TABAK,4,65,,
8693357082151,10365 EXOTICA BSERVIS TABAGI,5,,,
8693357085343,10366 AURA KASE 6LI,5,85,,
8693357071735,10367 AURA 2 LI CEREZ TABAK,2,5,,
8693357080171,10368 AURA COLORA TABAK 6LI,18,,,
8693357083813,10369 AURA KASE,4,,,
8693357075955,10371 ADA PASTA TABAGI 6LI,12,,,
8693357083936,10371 FASCINATION 6LI PASTA TABAK,29,,,
8693357077126,10372 ADA SERVIS TABAGI 6LI,19,,,
8693357075948,10373 ADA CEREZLIK 6LI,15,,,
8693357088658,10375 HAZE YEMEK TABAGI 6LI,8,5,,
8693357088696,10377 HAZE PASTA TABAGI 6LI,6,75,,
8693357088665,10378 HAZE KASE 6LI,7,15,,
8693357088672,10379 HAZE SERVIS TABAGI TEK,5,6,,
8693357088689,10381 HAZE SERVIS TABAGI 6LI,17,,,
8693357149878,10390 HARE DUZ TABAK 6LI,15,,,
8693357101715,10392 HARE OVAL SERVIS TABAK,4,2,,
8693357144460,10392 HARE OVAL SERVIS TABAK,4,2,,
8693357153899,10392 HARE OVAL SERVIS TABAK,4,2,,
8693357154032,10397 HARE SERVIS TABAGI TEK,7,,,
8693357115767,10397 HARE SERVIS TABAGI TEK,7,,,
8693357115743,10398 HARE SERVIS TABAGI 2LI,4,25,,
8693357144408,10398 HARE SERVIS TABAGI COLORA TEK,2,2,,
8693357115729,10404 PATISSERIE DUZ SERVIS TABAGI,3,,,
8693357149489,10411 HASIR SERVIS TABAGI TEK,124,,,
8693357381216,10411 HASIR SERVIS TABAGI TEK,124,,,
8693357381193,10412 HASIR SALATA TABAGI TEK,144,,,
8693357149502,10412 HASIR SALATA TABAGI TEK,144,,,
8693357162006,10414 BASIC KASE 6LI,6,,,
2700000241363,10414 BASIC KASE TEK,1,,,
8693357144606,10417 HARE PASTA TABAGI 6LI,12,,,
8693357151741,10417 HARE PASTA TABAGI 6LI,12,,,
8693357144507,10418 HARE KASE 6LI,11,,,
8693357144521,10418 HARE KASE 6LI,11,,,
8693357127715,10419 HARE KASE BUYUK TEK,7,,,
8693357144569,10419 HARE KASE COLORA TEK,7,,,
8693357144545,10419 HARE KASE COLORA TEK,7,,,
8693357149540,10421 HASIR KASE 6LI,4,,,
8693357149526,10422 HASIR MEYVE KASESI,235,,,
8693357170193,10424 PAELLA SERVIS KASE TEK,5,,,
8693357170216,10424 WORKS SHOP RENKLI KASE,7,8,,
8693357170230,10424 WORKS SHOP RENKLI KASE,7,8,,
8693357170254,10424 WORKS SHOP RENKLI KASE,7,8,,
8693357197350,10425 PAELLA SERVIS KASE,5,,,
8693357228658,10429 PASTORAL CAM MEYVELIK,206,,,
2700000237762,1043 BUZ TOPU KITCHENSTAR,1,5,,
8693357228610,10432 PASTORAL SERVIS TABAK TEK,89,,,
8693357228672,10437 PASTORAL KASE 6LI,8,,,
8693357228634,10438 PASTORAL PASTA TABAK 6LI,288,,,
2700000236840,10441 BOTANICA KAYIK TABAK TEKLI,3,,,
8693357254947,10458 HABITAT KASE,202,,,
8693357228559,10467 BOLMELI TABAK,128,,,
8693357228498,10468 INVITATION PASTA TABAK 6LI,10,,,
8693357228511,10469 INVITATION SERVIS TEPSISI,5,,,
8693357236516,10476 GENERATION KASE 6LI,291,,,
8693357236424,10478 GENERATION TABAK 6LI,389,,,
8693357252660,10478 GENERATION TABAK 6LI,389,,,
8693357236431,10479 GENERATION TABAK TEKLI,87,,,
8693357275874,1048187 GLASS4YOU CAY BARDAGI 6LI,163,,,
2700000242889,1048187 GLASS4YOU CAY BARDAGI DESENLI 6L,16,,,
8693357275898,1048188 GLASS4YOU CAY BARDAGI 6LI,11,,,
8693357242777,10487 GENERATION KAYIK TABAK 3LU,163,,,
8693357254541,10488 PATTISSERIE  SERVIS TABAGI TEK,179,,,
8693357242753,10497 GENERATION TABAK 6LI,407,,,
8693357269064,10499 AURORA SERVIS TABAGI,306,,,
8693357269095,10512 SUPERIOR AURORA 6'LI TABAK,765,,,
8693357269057,10513 AURORA KASE TEK BUYUK,323,,,
8693357342125,10515 AURORA KASE MEGA TEK,469,,,
8693357371842,10546 AURORA OVAL TABAK,360,,,
8693357371705,10547 AURORA OVAL TABAK,161,,,
8693357178038,10581 HABIITAT KASE 6LI,279,,,
8693357177710,10582 HABITAT SERVIS TABAGI TEK,133,,,
2700000243022,10583 HABITAT KASE TEK,3,,,
8693357177697,10583 HABITAT PASTA TABAGI 6LI,220,,,
2700000243008,10583 HABITAT PASTA TABAGI TEK,4,,,
2700000243015,10583 HABITAT SERVIS TABAGI TEK,5,,,
8693357177673,10584 HABITAT KASE TEK,196,,,
8693357177659,10585 HABITAT KASE,158,,,
8600000114091,10585 HABITAT KASE,49,,,
8693357178076,10586 BOTANICA KASE 6LI,17,,,
8693357303522,10588 LACY 1 KASE,10,,,
8693357286559,10595 BREAKFEAST KASE,10,,,
8693357263772,10596 TOSCANA SERVIS TABAGI BUYUK,212,,,
8693357269088,10601 AURORA KASE 6LI,142,,,
8693357318854,1067630 CAY TABAGI 6'LI,225,,,
8693357349063,1073378 CAY TABAGI 6'LI,221,,,
8693357360624,1077811 G4U CAY BARDAGI 6'LI,143,,,
1234567811017,1101 CAM PUL BIBERLIK,3,,,
8693375262245,12178 CORE MESRUBAT BARDAGI 6LI,130,,,
2700000142639,124250 YAGLIL&SIRKELIK,3,,,
2700000240922,12661 AYRAN BARDAGI 2LI,23,,,
2700000243305,12661 AYRAN BARDAGI TEK,12,,,
8693357191075,13394 VAZO PASABAHCE,142,,,
8694845000183,1350 TELLI KAPAKLI KAVANOZ,3,,,
8694845000190,1350 TELLI KAPAKLI KAVANOZ,3,,,
8693357064874,141004 TUZLUK 2LI 41CC,2,,,
8690636014124,1412 SAC FIRCASI,3,,,
8690636014179,1417 SAC FIRCASI,4,,,
2700000240939,14180 SERVIS TABAGI 3 BOLMELI,149,,,
8693357064836,142210 TUZLUK 2LI 106CC,1,,,
8681206071821,1453 OSMANLI DIBEK KAHVESI 200GR,11,,,
8681206071814,1453 TURK KAHVESI 100GR,4,,,
2700000142660,14749 KAVANOZ RENKLI 3LT,3,,,
2700000057506,15074 KAPAKLI 4LU KAVANOZ,1,,,
8693357064942,150742 TOPKAPI SAKL.KABI 3LU CAM,3,,,
8693357072978,150742 TOPKAPI SAKL.KABI 3LU CAM,3,,,
8697975016574,151509 BOGUMLU SU SISESI 500CC,4,,,
8697975016956,151923 BOGUMLU SU SISESI 1*12,4,,,
8698892468835,152 TURKUAZ EMAYE SAKL.KABI,30,,,
8698892468873,156 KOBALI MAVI EMAYE SAKL.KABI,30,,,
8698892468880,157 KOYU YESIL EMAYE SAKL.KABI,30,,,
8693357065192,157972 DAISY KAVANOZ 2LI,3,,,
8698892468903,159 ACIK YESIL EMAYE SAKL.KABI,30,,,
8693357003446,159005 BORCAM SET 3LU TENCERE,34,,,
3283840019143,15902 BORCAM TEPSI 2LI YUVARLAK (BUYK.-K,17,,,
8693357047266,159021 BORCAM 3LU TENCERE,32,,,
8693357003453,159021 BORCAM 3LU TENCERE,32,,,
8693357192904,159022 BORCAN TEPSI YUV.2LI (BUYK.-KUCK),650,,,
8693357014459,159022 BORCAN TEPSI YUV.2LI (BUYK.-KUCK),650,,,
3283840022976,159028 BORCAM TEPSI KARE 2'LI (BUYK.-KUC,620,,,
8693357014466,159028 BORCAM TEPSI KARE 2'LI (BUYK.-KUC,620,,,
8693357192928,159028 BORCAM TEPSI KARE 2'LI (BUYK.-KUC,620,,,
8693357192942,159033 BORCAM TEPSI OVAL 2LI (BUYK.-KUCU,650,,,
8693357014473,159033 BORCAM TEPSI OVAL 2LI (BUYK.-KUCU,650,,,
3283840021870,159033 BORCAM TEPSI OVAL 2LI (BUYK.-KUCU,650,,,
8693357005167,159054 BORCAM 3LU SET,17,,,
8693357037670,15907 BORCAM DIKD.FIRIN TEPSISI,657,,,
8693357047259,159075 BORCAM TEPSI 2LI,39,,,
8693357047228,159079 BORCAM SET 4LU,34,,,
8693357053878,159080 BORCAM SET,36,,,
8693357149830,159090 BORCAM YUVRL.TENCERE 3LU,32,,,
8693357168794,159096 BORCAM SET 3PARCA,34,,,
8693357178052,159100 BORCAM 3LU SET,36,,,
8693357047280,159103 BORCAM SET 6LI,50,,,
8693357193147,159108 BORCAM SET 6PARCA,47,,,
8693357205482,159111 BORCAM OVAL TEPSI 3LU KAPAKLI,22,,,
8693357254381,159123 BORCAM KARE 3LU SET,78,,,
8693357345010,159137 BORCAM OVAL TEPSI,35,,,
8693807094178,15PCS COFFEE SET,54,,,
8698892468910,160 ACIK MAVI EMAYE SAK.KABI,30,,,
8693357128446,16126 F&D SURAHI,71,,,
8691330203531,18+ AFTER SHAVE 100ML,28,,,
8691330203548,18+ DEO,9,,,
8691330203524,18+ EDT 100ML,50,,,
2700000240915,18315 AHSAP ALTLIKLI KEK FANUSU,109,,,
80373438,1860 PRALIN CIKOLATA 40GR,5,,,
80373421,1860 PRALIN CIKOLATA 40GR,5,,,
80373339,1860 PRALIN CIKOLATA 40GR,5,,,
8001675006566,1860PRALIN CIOLATA 130GR,16,,,
8001675006542,1860PRALIN CIOLATA 130GR,16,,,
8001675006498,1860PRALIN CIOLATA 130GR,16,,,
8001675006573,1860PRALIN CIOLATA 130GR,16,,,
8693357046092,18927 PASABAHCE KASE,18,,,
8692952000119,20020 GURAL&ART CAY TABAGI 12ADET,8,,,
8692952004063,20020 GURAL&ART CAY TABAGI 12ADET,8,,,
44117058424,205842 SEKERLIK,4,,,
8693357046054,20605 KIRMIZI VAZO,29,,,
3600000000009,20724 EGIK KESIM KULP KOBALT,75,,,
2700000236574,20888 SOGUK KESME SURAHI YATIK,51,,,
2700000118375,21573 DEDE&NINE BIBLO,4,,,
8692952000232,22010 GURALLAR LARTA BARDAK 6LI,6,,,
8692952000126,23010 ARTCRAFT UZUN BARDAK 6,5,,,
8693357111042,24140 CAM ELMA RENDESI,167,,,
8693357265882,24140 CAM ELMA RENDESI,167,,,
8693357003057,259019 BORCAM SET,9,,,
8693357155633,259025 BORCAM MUTFAK SET 7 PARCA,31,,,
7290001716540,25LI PVC KAYIK TABAK HAPPY,6,,,
8699878011236,289022 AXENTIA 830ML CAM SK KABI,13,,,
8699878011274,289024AXENTIA 900ML CAM SK KABI,13,,,
8692952000171,30030 ART CRAFT CAY BARDAGI 6LI,5,,,
43289309709,30970 VAZO,8,,,
8693357128545,31148 F&D SURAHI,64,,,
8692952000218,33010 LIMONATA BARDAGI 12LI,13,,,
8692952044960,33010 RAKI BARDAGI 6LI,21,,,
2700000158685,34044 CAM ELMA RENDESI,11,,,
51141321011,3M CERCEVE ASMA BANDI 5,4KG,12,,
51141322698,3M CERCEVE ASMA BANDI 7,2KG,17,,
8690734365401,3M IZOLASYON BANDI 9,5X13X3,05M,12,
8690734365364,3M IZOLASYON BANDI P TIPI 5.6X8,7X2,5MT,12,
8801230101862,3M IZOLASYON SUNGERI 9,5X13X415M,10,,
2700000242216,3M JAPON YAPISTIRICI 3GR,5,,,
8690725804599,404 JAPON YAPISTIRICI 20GR EKO GENEL,4,,,
8680188043178,40LI KOPUK BARDAK 175ML,5,,,
8693357380332,410006 MINI CORNET DONDURMALIK 3LU,9,,,
8693357088306,41010 BARREL BARDAK 3LU,200,,,
8693357176263,41010 BARREL BARDAK 3LU,200,,,
8693357077478,41010 BARREL BARDAK 6LI,353,,,
8693357088290,41010 BARREL BARDAK COLORA 3LU,134,,,
8693357364707,41010 BARREL BARDAK COLORA 3LU,134,,,
8693357443983,41010 BARREL BARDAK COLORA 3LU,134,,,
8693357364660,41010 BARREL BARDAK COLORA 3LU,134,,,
8693357364684,41010 BARREL BARDAK COLORA 3LU,134,,,
8693357144873,41010 BARREL BARDAK COLORA 3LU,134,,,
8693357143807,41010 BARREL BARDAK COLORA 3LU,134,,,
8693357163102,41010 BARREL BARDAK COLORA 3LU,134,,,
2700000244517,41010 BARREL BARDAK TEKLI,4,,,
8693357089952,41010 BARREL COLORA BARDAK 6LI,11,,,
8693357023710,41011 CINCIN BARDAK 12LI,71,,,
8693357156401,41011 CINCIN BARDAK 12LI,71,,,
8693357153738,41011 CINCIN BARDAK 3LU,280,,,
8693357003613,41011 CINCIN BARDAK 3LU,280,,,
8693357091863,41011 CINCIN BARDAK 3LU,13,,,
2700000242537,41011 CINCIN BARDAK TEK,49,,,
5010853000480,41016 6LI DONDURMALIK(GOURMET KITCHEN),13,,,
8693357000735,41016 DONDURMA KASESI,3,,,
8693357201859,41016 DSNLI WORK SHOP 3LU,11,,,
8693357201873,41016 DSNLI WORK SHOP 3LU,11,,,
8693357170803,41016 PASABAHCE DONDURMALIK 3LU,5,,,
8693357173897,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357173873,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357163126,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357364622,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357364608,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357176287,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357444041,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357307179,41020 BARREL BARDAK 3LU UZUN,415,,,
8693357221338,41020 BARREL BARDAK 6LI,16,,,
8693357038691,41026 ICEVILLE DONDURMALIK RENKLI,8,,,
8693357163140,41100 HORIZON BARDAK 3LU,8,,,
8693357163164,41110 HORIZON COLOR BARDAK 3LU,8,,,
8693357017825,41142 PALIO 3LU BARDAK COLARA,8,,,
8693357018013,41152 PALIO BARDAK 3LU COLORA,8,,,
8693357123847,41222 LIVE COLOR BARDAK 3LU,8,,,
8693357123861,41222 LIVE COLOR BARDAK 3LU,8,,,
8693357050648,41224 BINGO DONDURMALIK 6LI,10,,,
8693357119970,41224 LIFE STYLE DONDURMALIK 3LU,8,,,
8693357119994,41224 LIFE STYLE DONDURMALIK 3LU,8,,,
8693357085572,41290 CARRE 3LU BARDAK,6,,,
8693357111943,41290 CARRE BARDAK 3LU,229,,,
8693357174023,41290 CARRE SU BARDAGI 3LU,9,,,
8693357173989,41290 CARRE SU BARDAGI 3LU,9,,,
8693357174009,41290 CARRE SU BARDAGI 3LU,9,,,
8693357111752,41290 VISKI BARDAGI 6LI,17,,,
8693357111844,41300 CARER BARDAK 3LU,229,,,
8693357085619,41300 CARRE BARDAK 6LI,457,,,
8693357111738,41300 CARRE BARDAK 6LI,457,,,
8693357173934,41300 CARRE SU BARDAGI 3LU,9,,,
8693357173910,41300 CARRE SU BARDAGI 3LU,9,,,
8693357173958,41300 WORKSHOP CARE BARDAK 3LU,174,,,
8693357124042,41307 LIVE TORNADO BARDAK 3LU,5,,,
8693357124080,41307 LIVE TORNADO BARDAK 3LU,5,,,
8693357124066,41307 LIVE TORNADO BARDAK 3LU,5,,,
8693357009851,41411-41461 CELEBRATION VAZO,10,,,
8693357019973,41411-41461 CELEBRATION VAZO,10,,,
8693357010697,41471 CELEBRATION VAZO&MUMLUK,4,,,
8693357005655,41476 AYAKLI KASE,4,,,
8693357051423,41476 THE COLLECTUIN MEYVALIK,12,,,
3283840003463,41488 HANDY COLLECTION VAZO,5,,,
8693357255685,41536 ALLEGRA BARDAK 3LU,201,,,
8693357255678,41536 ALLEGRA BARDAK 3LU,201,,,
8693357221932,41536 ALLEGRA BARDAK 3LU,201,,,
8693357522763,41536 ALLEGRA BARDAK 6LI 425CC,316,,,
8693357224735,41536 ALLEGRA BARDAK 6LI 425CC,316,,,
8693357089402,41620 TRIUMPH BARDAK 3LU,8,,,
8693357089419,41630 TRIUMPH BARDAK 3LU,10,,,
8693357089426,41630 TRIUMPH BARDAK 6LI,13,,,
8693357127982,41797 PRIZMA BARDAK 3LU,172,,,
8680041002649,41797 PRIZMA BARDAK RENKLI 3LU,11,,,
8693357127593,41797 PRIZMA BARDAK UZUN 6LI,13,,,
8680041002656,41807 PRIMA BARDAK RENKLI 3LU,12,,,
8693357127968,41807 PRIZMA BARDAK 3LU,97,,,
8693357127616,41807 PRIZMA BARDAK 6LI,12,,,
8693357088382,41984 BALI COLORA DONDURMA KASE 3LU,10,,,
8693357088399,41984 BALI COLORA DONDURMA KASE 3LU,9,,,
8693357088375,41984 BALI DONDURMA KASE COLORA 3LU,9,,,
8693357255739,420003 VITA BARDAK 4LU,9,,,
8693357372566,420013 ROSES BARDAK 3LU,13,,,
8693357255722,420015 ALLEGRA BARDAK 3LU,250,,,
8693357522800,420015 ALLEGRA BARDAK 3LU,250,,,
8693357502857,420015 ALLEGRA BARDAK 3LU,250,,,
8693357257269,420015 ALLEGRA BARDAK 3LU,250,,,
8693357523180,420016 HEYBELI RAKI BARDAGI,375,,,
8693357335813,420016 HEYBELI RAKI BARDAGI,375,,,
8691562581162,420022 NUREV SU BARDAGI 3LU,8,,,
8693357311572,420022 TROY BARDAK 3LU,196,,,
8693357372405,420032 ROSES BARDAK 3LU,12,,,
8693357259232,420033 VITA KAHVE BARDAGI 6LI,17,,,
8693357255661,420035 MONTE CARLO BARDAK 3LU,9,,,
8693357272248,420055 AZUR BARDAK 3LU,189,,,
8693357272200,420055 AZUR BARDAK 3LU,189,,,
8693357272224,420055 AZUR BARDAK 3LU,189,,,
8693357243880,420055 AZUR BARDAK 3LU,189,,,
2700000243466,420055 AZUR BARDAK TEKLI,4,,,
8693357372542,420055 ROSES BARDAK 3LU,15,,,
8693357004641,42011 CAY BARDAGI 12LI,210,,,
8693357033757,42011 CAY BARDAGI 12LI,210,,,
8693357033320,42011 CAY BARDAGI 6LI,100,,,
